"Water Year(WY)","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep"
"1972","1,357,490","1,348,860","1,367,240","1,375,730","1,398,820","1,388,440","1,361,270","1,320,600","1,274,300","1,222,670","1,178,560","1,148,200"
"1973","1,140,510","1,165,360","1,187,390","1,423,360","1,594,960","1,621,230","1,606,340","1,565,420","1,516,260","1,464,760","1,419,860","1,389,350"
"1974","1,376,810","1,494,820","1,559,500","1,628,810","1,639,890","1,670,780","1,617,750","1,586,110","1,538,760","1,489,190","1,438,820","1,404,850"
"1975","1,382,800","1,375,730","1,381,350","1,348,990","1,537,630","1,627,840","1,612,340","1,572,500","1,520,800","1,468,660","1,417,100","1,381,350"
"1976","1,368,320","1,360,910","1,357,130","1,347,960","1,332,380","1,311,000","1,277,820","1,224,220","1,171,110","1,111,240","1,070,240","1,037,780"
"1977","1,017,340","1,007,340","1,000,390","997,240","995,040","982,160","943,690","914,090","871,810","824,530","783,840","758,920"
"1978","744,120","751,280","790,620","1,067,480","1,210,120","1,315,440","1,338,990","1,307,300","1,257,200","1,204,300","1,152,400","1,121,200"
"1979","1,102,300","1,095,100","1,087,900","1,130,000","1,223,000","1,257,900","1,254,500","1,220,900","1,172,100","1,120,000","1,070,700","1,035,000"
"1980","1,022,600","1,024,300","1,079,000","1,240,300","1,469,200","1,534,200","1,532,300","1,498,000","1,455,300","1,404,300","1,354,300","1,318,600"
"1981","1,296,100","1,285,500","1,305,300","1,379,900","1,402,500","1,431,600","1,415,100","1,368,700","1,316,200","1,265,500","1,205,500","1,167,000"
"1982","1,150,400","1,228,700","1,367,100","1,504,900","1,604,020","1,675,490","1,623,200","1,596,500","1,557,000","1,512,300","1,406,100","1,438,500"
"1983","1,425,000","1,472,000","1,555,900","1,666,500","1,707,000","1,647,100","1,631,700","1,605,900","1,569,600","1,526,400","1,481,700","1,448,400"
"1984","1,429,200","1,504,600","1,652,200","1,606,300","1,605,400","1,598,600","1,578,800","1,537,200","1,486,900","1,428,000","1,378,300","1,342,600"
"1985","1,326,800","1,364,300","1,376,400","1,379,300","1,423,700","1,447,300","1,429,800","1,384,400","1,335,800","1,280,800","1,237,900","1,208,100"
"1986","1,188,100","1,186,400","1,195,000","1,243,900","1,629,600","1,614,600","1,592,600","1,556,800","1,510,200","1,460,100","1,412,200","1,382,100"
"1987","1,358,700","1,339,300","1,327,400","1,325,800","1,354,100","1,394,300","1,368,900","1,321,100","1,271,000","1,219,735","1,171,400","1,135,000"
"1988","1,110,914","1,101,334","1,144,354","1,232,000","1,235,440","1,215,610","1,188,100","1,157,000","1,112,731","1,064,100","1,020,353","986,000"
"1989","965,320","963,150","962,530","960,820","957,250","1,034,600","1,018,100","976,690","931,740","881,460","836,990","815,460"
"1990","806,840","802,280","796,010","815,600","833,511","830,470","798,720","772,730","740,401","695,890","655,710","627,430"
"1991","608,455","603,115","593,100","585,868","582,194","754,332","751,144","720,625","681,844","640,922","602,495","574,189"
"1992","556,535","549,177","545,628","545,511","601,257","632,634","622,122","584,152","543,986","503,490","464,431","439,690"
"1993","428,630","422,230","468,660","742,600","896,130","937,090","941,220","914,240","883,260","834,670","794,160","765,170"
"1994","751,418","745,497","759,613","764,476","796,298","795,870","766,847","738,060","692,443","642,582","613,461","568,391"
"1995","550,227","549,534","560,353","1,021,311","1,064,728","1,437,844","1,472,943","1,487,130","1,454,728","1,405,396","1,354,251","1,318,999"
"1996","1,298,500","1,285,000","1,342,900","1,444,000","1,622,400","1,607,500","1,598,400","1,590,700","1,549,800","1,497,400","1,447,100","1,412,300"
"1997","1,390,300","1,389,200","1,554,500","1,661,400","1,606,300","1,600,900","1,571,900","1,531,600","1,483,000","1,431,600","1,387,900","1,354,400"
"1998","1,334,342","1,353,892","1,388,259","1,540,090","1,652,573","1,613,108","1,605,178","1,614,462","1,584,573","1,538,576","1,493,129","1,456,399"
"1999","1,437,500","1,454,700","1,462,300","1,481,900","1,610,600","1,617,200","1,600,700","1,565,600","1,522,100","1,468,500","1,423,900","1,392,300"
"2000","1,370,800","1,367,596","1,362,500","1,396,100","1,564,500","1,598,400","1,589,600","1,562,000","1,514,200","1,463,100","1,418,600","1,390,100"
"2001","1,375,500","1,368,300","1,363,800","1,377,200","1,450,500","1,489,001","1,472,400","1,430,000","1,382,800","1,336,500","1,295,100","1,264,300"
"2002","1,246,029","1,256,641","1,370,307","1,480,410","1,494,817","1,506,826","1,489,376","1,457,142","1,410,696","1,360,728","1,318,643","1,286,775"
"2003","1,266,247","1,263,976","1,494,817","1,570,778","1,586,498","1,604,405","1,617,750","1,596,312","1,555,501","1,505,888","1,464,569","1,430,888"
"2004","1,410,696","1,405,396","1,523,988","1,586,305","1,649,058","1,600,738","1,577,672","1,540,093","1,493,879","1,443,440","1,401,009","1,369,584"
"2005","1,358,565","1,355,900","1,434,943","1,530,993","1,576,140","1,623,756","1,603,632","1,609,434","1,575,374","1,527,580","1,482,277","1,452,128"
"2006","1,435,313","1,430,888","1,641,052","1,616,976","1,641,443","1,636,777","1,622,395","1,596,120","1,561,407","1,515,501","1,474,623","1,444,734"
"2007","1,429,418","1,425,744","1,435,682","1,431,807","1,484,703","1,484,890","1,458,999","1,421,885","1,374,826","1,326,299","1,275,883","1,243,251"
"2008","1,231,298","1,222,840","1,219,734","1,334,521","1,400,278","1,396,600","1,364,885","1,325,763","1,278,869","1,228,709","1,183,477","1,151,049"
"2009","1,133,316","1,128,827","1,126,999","1,123,009","1,204,803","1,259,260","1,235,785","1,208,920","1,125,566","1,076,971","1,032,918","1,001,530"
"2010","992,771","985,910","984,043","1,115,220","1,166,866","1,209,300","1,253,436","1,239,639","1,202,739","1,153,190","1,112,435","1,083,443"
"2011","1,071,321","1,069,548","1,134,795","1,157,185","1,229,851","1,443,490","1,459,560","1,441,121","1,419,492","1,375,105","1,331,878","1,302,315"
"2012","1,290,184","1,287,905","1,276,015","1,289,132","1,286,328","1,366,497","1,393,276","1,360,409","1,315,561","1,267,829","1,224,029","1,194,273"
"2013","1,177,928","1,209,362","1,367,751","1,381,933","1,380,315","1,361,125","1,336,145","1,296,507","1,251,880","1,201,891","1,163,858","1,137,274"
"2014","1,119,977","1,110,143","1,100,833","1,085,550","1,105,403","1,111,780","1,110,143","1,073,903","1,025,942","976,122","937,843","908,936"
