"Water Year(WY)","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep"
"1972","341,190","384,540","409,830","511,080","576,020","542,420","541,920","559,830","508,160","437,630","376,490","362,430"
"1973","343,060","359,730","412,340","541,920","700,790","873,100","963,530","1,055,600","1,171,550","1,056,400","959,080","913,080"
"1974","905,350","976,210","1,078,760","1,171,550","1,228,860","1,352,530","1,472,240","1,615,020","1,792,740","1,710,640","1,588,010","1,461,120"
"1975","1,403,570","1,366,830","1,312,170","1,258,270","1,351,580","1,476,290","1,537,120","1,630,300","1,847,910","1,762,340","1,676,820","1,596,620"
"1976","1,539,220","1,505,960","1,448,060","1,386,080","1,377,400","1,276,360","1,164,740","1,115,360","984,480","845,040","727,980","686,570"
"1977","670,110","655,147","635,324","619,177","614,218","581,829","524,368","525,361","458,063","383,248","319,623","306,790"
"1978","303,949","322,140","364,751","549,037","744,743","1,025,024","1,205,178","1,271,234","1,610,675","1,661,185","1,570,906","1,575,169"
"1979","1,562,408","1,525,639","1,506,988","1,536,076","1,564,529","1,612,846","1,631,394","1,825,925","1,876,601","1,755,379","1,647,894","1,606,339"
"1980","1,566,653","1,568,884","1,596,615","1,697,054","1,753,064","1,624,829","1,589,084","1,726,630","1,812,830","1,935,869","1,864,438","1,743,826"
"1981","1,676,822","1,619,374","1,544,465","1,501,838","1,480,357","1,493,627","1,464,148","1,458,106","1,376,427","1,257,375","1,158,799","1,119,487"
"1982","1,125,281","1,182,855","1,300,151","1,483,411","1,655,637","1,719,750","1,782,169","1,803,352","2,005,528","2,002,962","1,881,784","1,747,286"
"1983","1,647,894","1,712,917","1,684,668","1,686,915","1,730,037","1,885,153","1,672,350","1,470,210","1,831,901","2,017,109","1,934,620","1,704,972"
"1984","1,521,479","1,688,039","1,766,990","1,618,284","1,526,680","1,434,102","1,424,199","1,617,196","1,741,522","1,651,209","1,456,568","1,512,151"
"1985","1,504,926","1,522,522","1,485,450","1,496,702","1,537,123","1,545,516","1,555,000","1,536,076","1,459,111","1,327,080","1,238,612","1,213,036"
"1986","1,199,959","1,206,921","1,218,296","1,310,316","1,720,891","1,722,032","1,596,615","1,733,477","1,854,751","1,798,628","1,714,055","1,672,350"
"1987","1,615,000","1,603,100","1,524,600","1,522,500","1,524,600","1,527,700","1,441,100","1,349,700","1,237,724","1,117,836","993,557","933,500"
"1988","911,042","877,256","875,868","940,700","983,725","916,763","931,177","963,526","1,003,400","937,000","920,351","930,453"
"1989","961,300","992,800","1,023,472","1,057,190","1,098,157","1,183,542","1,175,823","1,224,458","1,280,002","1,170,697","1,086,015","1,070,733"
"1990","1,102,000","1,135,000","1,167,000","1,210,000","1,262,000","1,297,000","1,289,000","1,249,000","1,221,000","1,096,000","998,100","992,000"
"1991","974,711","1,011,123","1,020,375","1,004,988","993,557","1,066,737","1,085,207","1,121,968","1,134,428","1,050,068","968,734","946,554"
