"Water Year(WY)","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep"
"1976","12,000","12,800","12,100","17,800","37,400","59,600","55,900","41,900","9,830","5,250","4,590","3,460"
"1977","3,458","3,458","3,458","3,458","3,458","6,590","4,568","4,568","5,323","3,587","2,995","2,995"
"1978","2,995","2,995","9,680","79,908","64,747","54,064","69,265","96,325","112,980","90,223","29,000","43,578"
"1979","45,769","38,037","52,336","55,129","81,787","106,871","174,420","289,314","281,799","215,371","153,520","115,920"
"1980","127,700","157,000","181,700","282,500","400,000","384,600","257,000","237,800","351,500","329,900","276,900","276,900"
"1981","268,900","285,900","316,000","340,800","371,700","420,800","404,200","383,800","305,700","219,000","149,400","124,300"
"1982","141,100","204,500","345,700","493,100","726,400","903,100","1,229,400","1,546,200","1,636,300","1,567,500","1,431,700","1,357,900"
"1983","1,352,200","1,430,500","1,541,900","1,682,700","1,880,100","2,070,500","1,931,300","2,028,300","2,368,700","2,325,400","2,141,700","2,024,200"
"1984","1,971,300","2,036,100","2,052,300","1,911,100","1,904,400","1,941,500","1,933,900","2,030,700","2,059,200","1,986,000","1,909,900","1,841,200"
"1985","1,825,600","1,873,100","1,885,300","1,866,500","1,867,600","1,903,400","1,921,200","1,900,300","1,822,600","1,667,600","1,540,300","1,508,100"
"1986","1,515,000","1,532,300","1,567,400","1,633,000","1,994,600","2,037,200","2,091,400","2,213,300","2,253,700","2,164,200","2,030,600","1,947,900"
"1987","1,936,600","1,942,900","1,920,300","1,883,500","1,866,400","1,849,700","1,780,200","1,709,800","1,598,181","1,519,496","1,465,943","1,443,100"
"1988","1,451,235","1,449,052","1,429,934","1,444,413","1,445,300","1,383,900","1,359,136","1,278,828","1,207,100","1,124,000","1,054,566","989,252"
"1989","971,816","937,317","920,121","921,971","938,286","985,600","975,400","908,956","857,467","769,418","699,400","671,900"
"1990","714,800","734,500","763,400","777,100","800,100","769,400","714,600","633,900","567,900","479,700","411,500","377,700"
"1991","375,664","365,100","385,931","373,300","372,603","423,122","433,159","423,206","401,992","339,705","287,469","296,264"
"1992","293,066","289,213","317,490","328,159","374,250","422,614","365,134","285,900","232,078","176,298","116,274","83,839"
"1993","86,920","91,020","115,600","263,600","367,800","511,000","581,500","684,400","798,000","766,700","712,000","670,700"
"1994","682,746","709,003","747,513","774,252","792,033","742,071","691,451","649,505","578,799","495,715","421,012","379,213"
"1995","382,300","393,800","425,400","605,700","700,600","1,009,000","1,184,000","1,399,000","1,680,000","1,833,000","1,791,000","1,763,000"
"1996","1,765,000","1,784,000","1,826,000","1,909,000","2,037,000","2,049,000","2,038,000","2,162,000","2,184,000","2,102,000","2,031,000","1,988,000"
"1997","1,984,670","1,989,631","2,010,765","2,242,633","2,056,588","2,022,330","1,994,157","2,004,776","1,966,219","1,896,345","1,826,729","1,819,300"
"1998","1,814,492","1,825,365","1,853,028","1,925,187","1,954,511","1,999,129","2,052,301","2,112,632","2,331,120","2,340,247","2,202,050","2,098,590"
"1999","1,997,691","1,997,136","1,976,860","1,975,979","1,972,359","1,997,469","1,991,600","2,020,537","2,034,830","1,947,003","1,867,854","1,828,720"
"2000","1,856,000","1,866,000","1,881,000","1,926,000","2,008,000","2,012,000","1,996,000","1,984,000","1,957,000","1,891,000","1,831,000","1,804,000"
"2001","1,822,000","1,848,000","1,876,000","1,874,000","1,896,000","1,921,000","1,876,000","1,799,000","1,716,000","1,624,000","1,538,000","1,481,000"
"2002","1,468,052","1,471,352","1,516,405","1,569,452","1,587,383","1,621,470","1,588,923","1,546,999","1,478,529","1,391,280","1,319,882","1,278,233"
"2003","1,287,850","1,304,231","1,358,261","1,405,253","1,426,776","1,425,154","1,427,227","1,459,446","1,447,233","1,368,774","1,303,719","1,280,300"
"2004","1,265,987","1,275,712","1,317,700","1,377,100","1,442,000","1,496,373","1,470,526","1,395,011","1,302,186","1,204,873","1,140,943","1,110,106"
"2005","1,134,609","1,163,963","1,214,384","1,339,810","1,436,983","1,578,354","1,677,612","1,872,329","2,039,080","2,027,123","1,965,453","1,933,205"
"2006","1,941,019","1,957,582","2,026,677","1,972,250","2,016,320","2,074,976","2,207,572","2,287,150","2,349,393","2,265,720","2,145,494","2,056,251"
"2007","1,988,087","1,994,488","1,992,391","1,976,860","2,001,123","1,978,510","1,908,906","1,778,198","1,673,235","1,573,370","1,491,552","1,436,983"
"2008","1,427,769","1,436,349","1,451,235","1,488,589","1,531,046","1,488,312","1,410,347","1,351,193","1,285,061","1,200,743","1,131,486","1,099,283"
"2009","1,103,728","1,123,012","1,145,886","1,167,778","1,207,877","1,288,019","1,270,338","1,333,235","1,299,636","1,224,270","1,157,550","1,108,410"
"2010","1,103,882","1,115,658","1,164,679","1,219,849","1,234,122","1,267,408","1,276,719","1,290,558","1,419,401","1,372,374","1,307,388","1,275,964"
"2011","1,280,677","1,317,054","1,479,909","1,601,177","1,693,879","1,940,802","1,985,990","2,091,766","2,300,383","2,275,641","2,142,033","2,052,200"
"2012","1,944,064","1,962,608","1,974,661","1,972,469","1,964,905","1,981,590","1,945,044","1,837,855","1,735,018","1,637,702","1,556,392","1,510,706"
"2013","1,477,425","1,502,599","1,593,641","1,635,643","1,600,114","1,553,922","1,457,437","1,334,186","1,252,644","1,159,291","1,087,462","1,047,055"
"2014","1,025,200","1,037,292","1,048,613","1,045,600","1,060,019","1,036,628","917,188","799,143","712,700","625,841","553,486","519,723"
"2015","513,336","513,099","547,389","562,683","605,603","553,486","491,080","452,563","401,254","343,869","294,767","267,700"
"2016","271,444","267,250","310,248","392,920","458,704","617,344","622,100","624,233","630,628","582,745","544,428","528,429"
"2017","509,971","528,622","628,257","1,012,764","1,577,779","1,811,888","2,002,009","2,079,169","2,181,351","2,140,535","2,044,794","2,023,891"
"2018","2,000,459","1,998,133","1,980,930","1,981,480","1,919,574","2,018,876","2,061,993","1,959,767","1,907,831","1,870,946","1,824,631","1,784,903"
"2019","1,756,323","1,765,237","1,789,248","1,870,521","2,005,331","2,001,123","1,920,977","2,047,263","2,222,758","2,142,378","2,052,088","2,033,152"
"2020","1,998,687","2,000,348","1,980,710","1,983,350","1,929,521","1,892,277","1,904,608","1,835,434","1,716,190","1,637,898","1,574,422","1,519,308"
"2021","1,497,300","1,516,300","1,547,852","1,554,871","1,555,250","---","","","","","",""
