STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,Year,YearMonth,TextMonth,PRCP,TMAX,TMIN
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/1/1972,1972,1,January,0,63,34
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/2/1972,1972,1,January,0,68,35
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/3/1972,1972,1,January,0,49,33
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/4/1972,1972,1,January,0,54,28
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/5/1972,1972,1,January,0,52,26
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/6/1972,1972,1,January,0,51,32
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/7/1972,1972,1,January,0,54,29
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/8/1972,1972,1,January,0,55,28
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/9/1972,1972,1,January,0,57,29
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/10/1972,1972,1,January,0,53,28
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/11/1972,1972,1,January,0,37,33
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/12/1972,1972,1,January,0,37,34
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/13/1972,1972,1,January,0,38,33
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/14/1972,1972,1,January,0,50,30
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/15/1972,1972,1,January,0,55,30
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/16/1972,1972,1,January,0,55,30
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/17/1972,1972,1,January,0,50,33
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/18/1972,1972,1,January,0,42,36
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/19/1972,1972,1,January,0.08,46,39
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/20/1972,1972,1,January,0.2,49,45
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/21/1972,1972,1,January,0,54,48
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/22/1972,1972,1,January,0,55,51
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/23/1972,1972,1,January,0,56,43
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/24/1972,1972,1,January,0,56,33
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/25/1972,1972,1,January,0.29,51,35
