station,name,latitude,longitude,elevation,date,year,textmonth,prcp,tmax,tmin,resevoirstorage
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/1/1972,1972,January,0,63,34,2719000
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/2/1972,1972,January,0,68,35,2719000
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/3/1972,1972,January,0,49,33,2719000
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/4/1972,1972,January,0,54,28,2719000
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/5/1972,1972,January,0,52,26,2719000
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/6/1972,1972,January,0,51,32,2719000
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/7/1972,1972,January,0,54,29,2719000
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/8/1972,1972,January,0,55,28,2719000
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/9/1972,1972,January,0,57,29,2719000
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/10/1972,1972,January,0,53,28,2719000
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/11/1972,1972,January,0,37,33,2719000
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/12/1972,1972,January,0,37,34,2719000
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/13/1972,1972,January,0,38,33,2719000
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/14/1972,1972,January,0,50,30,2719000
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/15/1972,1972,January,0,55,30,2719000
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/16/1972,1972,January,0,55,30,2719000
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/17/1972,1972,January,0,50,33,2719000
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/18/1972,1972,January,0,42,36,2719000
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/19/1972,1972,January,0.08,46,39,2719000
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/20/1972,1972,January,0.2,49,45,2719000
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/21/1972,1972,January,0,54,48,2719000
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/22/1972,1972,January,0,55,51,2719000
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/23/1972,1972,January,0,56,43,2719000
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/24/1972,1972,January,0,56,33,2719000
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/25/1972,1972,January,0.29,51,35,2719000
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/26/1972,1972,January,0.01,51,33,2719000
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/27/1972,1972,January,1.01,46,33,2719000
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/28/1972,1972,January,0,48,35,2719000
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/29/1972,1972,January,0,48,27,2719000
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/30/1972,1972,January,0,58,27,2719000
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,1/31/1972,1972,January,0,55,29,2719000
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,2/1/1972,1972,February,0,48,36,2821800
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,2/2/1972,1972,February,0,54,33,2821800
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,2/3/1972,1972,February,0,50,33,2821800
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,2/4/1972,1972,February,0.01,54,39,2821800
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,2/5/1972,1972,February,0.49,53,44,2821800
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,2/6/1972,1972,February,0.46,52,47,2821800
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,2/7/1972,1972,February,0,57,35,2821800
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,2/8/1972,1972,February,0,60,42,2821800
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,2/9/1972,1972,February,0,56,34,2821800
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,2/10/1972,1972,February,0,65,36,2821800
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,2/11/1972,1972,February,0,65,45,2821800
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,2/12/1972,1972,February,0,66,38,2821800
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,2/13/1972,1972,February,0,65,38,2821800
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,2/14/1972,1972,February,0,68,43,2821800
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,2/15/1972,1972,February,0,58,40,2821800
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,2/16/1972,1972,February,0,68,40,2821800
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,2/17/1972,1972,February,0,67,38,2821800
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,2/18/1972,1972,February,0,67,43,2821800
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,2/19/1972,1972,February,0,67,45,2821800
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,2/20/1972,1972,February,0.03,62,50,2821800
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,2/21/1972,1972,February,0.05,66,50,2821800
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,2/22/1972,1972,February,0.19,62,45,2821800
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,2/23/1972,1972,February,0.08,60,48,2821800
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,2/24/1972,1972,February,0.02,55,50,2821800
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,2/25/1972,1972,February,0,54,48,2821800
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,2/26/1972,1972,February,0.4,61,50,2821800
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,2/27/1972,1972,February,0,68,46,2821800
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,2/28/1972,1972,February,0.11,69,53,2821800
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,2/29/1972,1972,February,0.01,60,49,2821800
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,3/1/1972,1972,March,0,60,43,3206800
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,3/2/1972,1972,March,0,61,51,3206800
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,3/3/1972,1972,March,0.04,65,54,3206800
USC00046521,"OROVILLE, CA US",39.5177,-121.553,52.1,3/4/1972,1972,March,0,68,54,3206800
