"Water Year(WY)","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep"
"1972","2,730,800","2,680,600","2,601,300","2,719,000","2,821,800","3,206,800","3,424,000","3,463,400","3,235,300","3,018,500","2,766,300","2,611,500"
"1973","2,483,800","2,638,900","2,861,200","2,812,800","2,875,600","2,982,400","3,315,000","3,514,600","3,389,200","3,138,700","2,866,900","2,728,500"
"1974","2,687,400","2,789,200","2,811,600","2,825,700","2,847,600","3,326,200","3,222,700","3,442,100","3,513,100","3,184,000","2,757,700","2,397,000"
"1975","2,072,610","1,840,100","1,667,210","1,662,100","2,016,100","2,673,600","3,127,100","3,385,600","3,475,900","3,224,900","2,983,900","2,857,500"
"1976","2,808,600","2,751,600","2,582,700","2,679,000","2,751,500","2,860,000","2,751,500","2,632,700","2,422,100","2,113,300","1,927,300","1,827,900"
"1977","1,743,300","1,686,300","1,627,300","1,605,900","1,572,410","1,564,500","1,406,800","1,353,400","1,203,000","996,900","891,800","915,200"
"1978","905,300","917,700","1,119,920","2,030,400","2,525,100","2,841,600","3,168,400","3,344,500","3,330,700","3,021,900","2,795,200","2,744,200"
"1979","2,727,900","2,707,300","2,653,000","2,771,600","2,901,000","3,059,600","3,294,400","3,502,100","3,328,500","3,037,800","2,769,200","2,672,200"
"1980","2,700,900","2,747,100","2,814,000","2,735,500","2,867,800","2,893,200","3,174,600","3,344,200","3,117,800","2,885,100","2,660,500","2,611,200"
"1981","2,598,600","2,619,100","2,732,400","2,881,000","3,086,600","3,259,700","3,404,300","3,252,800","3,111,600","2,672,900","2,446,700","2,354,400"
"1982","2,381,800","2,891,300","2,861,400","2,778,100","2,955,020","3,009,590","3,273,600","3,514,600","3,490,100","3,318,300","3,000,200","2,775,100"
"1983","2,743,700","2,829,700","2,808,800","2,804,200","2,868,800","2,834,600","2,935,300","3,309,400","3,491,300","3,280,300","3,036,100","2,818,300"
"1984","2,731,800","2,837,700","2,830,800","2,754,100","2,887,500","3,092,200","3,321,400","3,363,600","3,234,100","2,860,700","2,633,100","2,529,300"
"1985","2,538,300","2,699,100","2,672,700","2,718,000","2,829,700","3,002,000","3,263,300","3,064,200","2,718,000","2,413,900","2,171,300","2,132,400"
"1986","2,065,500","2,007,700","2,097,900","2,429,300","2,910,900","2,880,300","3,193,300","3,287,500","3,259,800","2,945,400","2,757,000","2,660,900"
"1987","2,593,800","2,607,400","2,564,100","2,584,100","2,743,700","3,078,000","3,077,900","2,928,400","2,661,900","2,290,153","2,052,510","1,978,538"
"1988","1,976,965","2,069,358","2,388,007","2,649,289","2,701,689","2,661,680","2,552,740","2,478,918","2,238,794","1,867,685","1,645,221","1,528,900"
"1989","1,506,898","1,605,991","1,660,266","1,699,766","1,716,489","2,867,122","3,343,930","3,278,807","3,092,775","2,628,087","2,283,529","2,150,283"
"1990","2,145,723","2,125,012","1,888,799","1,895,501","1,935,355","2,091,865","1,871,358","1,727,608","1,692,620","1,446,234","1,187,386","1,163,259"
"1991","1,173,203","1,155,535","987,094","921,058","937,977","1,320,262","1,599,577","1,684,654","1,570,271","1,449,685","1,388,101","1,399,251"
"1992","1,353,409","1,331,087","1,265,734","1,277,365","1,535,990","1,775,113","2,017,514","1,879,385","1,746,733","1,562,893","1,406,168","1,316,867"
"1993","1,305,700","1,294,128","1,402,048","2,001,921","2,509,679","2,935,879","3,273,870","3,515,972","3,487,573","3,118,405","2,710,315","2,665,948"
"1994","2,657,674","2,627,062","2,429,938","2,410,233","2,488,895","2,624,062","2,636,169","2,532,082","2,316,197","2,024,329","1,806,248","1,683,158"
"1995","1,585,818","1,567,602","1,668,244","2,708,222","2,641,052","2,773,891","3,159,172","3,452,965","3,512,826","3,428,021","3,181,820","2,897,173"
"1996","2,800,576","2,775,753","2,702,081","2,750,028","2,729,463","2,985,016","3,243,172","3,504,341","3,441,019","3,052,191","2,743,821","2,735,516"
"1997","2,683,587","2,715,028","2,929,103","2,860,051","2,675,667","2,962,255","3,222,432","3,187,389","2,970,340","2,441,723","2,201,798","2,139,728"
"1998","2,032,123","2,061,894","2,224,172","2,654,963","2,713,849","2,812,374","3,025,675","3,301,917","3,524,003","3,340,440","3,059,166","2,831,485"
