"Water Year(WY)","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep"
"1972","3,230,800","3,216,800","3,205,600","3,404,200","3,616,000","4,076,200","4,363,200","4,220,300","3,930,600","3,576,400","3,321,000","3,266,500"
"1973","3,279,900","3,237,000","3,300,400","3,285,700","3,494,000","3,985,500","4,297,600","4,365,200","4,174,100","3,813,000","3,500,000","3,316,600"
"1974","3,240,800","3,625,800","3,379,900","3,613,200","3,620,200","4,503,400","4,395,400","4,542,600","4,400,100","4,190,800","3,854,800","3,658,300"
"1975","3,555,400","3,339,100","3,204,400","3,218,000","3,574,400","4,046,000","4,579,100","4,536,600","4,402,400","4,085,900","3,726,900","3,569,500"
"1976","3,474,700","3,329,700","3,036,900","2,990,800","3,035,800","3,170,200","3,013,700","2,568,100","2,130,500","1,653,800","1,310,000","1,295,400"
"1977","1,492,600","1,562,000","1,599,100","1,533,000","1,485,600","1,460,700","1,214,100","1,127,100","937,700","680,500","578,000","630,600"
"1978","656,000","648,200","1,172,300","2,979,700","3,614,000","3,982,200","4,431,900","4,477,700","4,290,400","3,906,500","3,498,500","3,427,900"
"1979","3,332,100","3,310,800","3,335,700","3,338,700","3,682,200","4,137,800","4,264,000","4,336,600","3,965,100","3,450,500","3,200,600","3,141,300"
"1980","3,212,000","3,317,800","3,380,900","3,605,500","3,792,600","3,869,700","4,153,800","4,173,800","3,919,500","3,555,500","3,322,900","3,320,700"
"1981","3,256,900","3,202,500","3,190,700","3,453,500","3,865,200","4,320,700","4,295,900","3,994,300","3,608,600","3,033,000","2,547,600","2,480,200"
"1982","2,560,200","3,336,700","3,492,000","3,556,300","3,633,500","4,062,000","4,472,700","4,507,500","4,375,400","4,071,200","3,692,400","3,486,400"
"1983","3,433,400","3,297,100","3,255,000","3,740,300","3,579,400","3,725,100","4,286,100","4,526,800","4,471,200","4,169,900","3,776,200","3,616,800"
"1984","3,458,000","3,395,400","3,457,500","3,405,200","3,789,900","4,133,600","4,342,700","4,294,400","4,070,000","3,587,400","3,305,500","3,240,100"
"1985","3,155,400","3,252,300","3,105,500","3,118,200","3,240,400","3,445,500","3,546,900","3,225,400","2,856,300","2,292,100","1,929,200","1,977,800"
"1986","2,083,100","2,173,900","2,422,100","2,973,900","3,811,900","3,703,300","4,084,800","4,083,700","3,801,900","3,498,000","3,255,400","3,211,300"
"1987","3,162,426","3,068,290","2,973,198","3,045,350","3,408,163","4,182,034","4,035,750","3,673,649","3,151,636","2,619,930","2,110,704","2,108,216"
"1988","2,230,534","2,339,705","2,915,081","3,401,029","3,582,502","3,576,100","3,232,964","2,965,098","2,590,070","2,032,300","1,654,011","1,585,923"
"1989","1,631,499","1,822,868","1,774,106","1,878,483","1,896,342","3,288,857","3,742,643","3,453,492","2,988,975","2,530,617","2,110,882","2,095,977"
"1990","2,282,688","2,103,242","2,053,637","2,316,671","2,428,734","2,709,100","2,484,182","2,476,623","2,357,900","2,060,968","1,692,910","1,637,368"
"1991","1,679,211","1,681,100","1,625,779","1,563,761","1,542,838","2,020,535","2,202,204","2,086,967","1,828,675","1,533,742","1,325,418","1,339,851"
"1992","1,386,373","1,319,540","1,301,903","1,342,876","1,966,077","2,388,399","2,671,050","2,586,447","2,411,148","2,190,862","1,884,925","1,683,200"
"1993","1,699,550","1,827,059","2,088,734","2,765,045","3,459,209","3,791,527","4,263,394","4,470,933","4,320,944","3,909,772","3,432,134","3,101,762"
"1994","2,957,021","2,920,194","2,961,948","3,058,411","3,298,496","3,495,467","3,533,731","3,460,455","3,265,268","2,849,680","2,449,350","2,101,642"
"1995","2,024,178","2,020,535","2,042,641","3,519,356","3,448,519","3,927,860","4,165,106","4,296,429","4,237,107","3,836,077","3,390,702","3,136,430"
"1996","3,104,548","3,040,780","3,267,676","3,519,356","3,694,201","3,882,865","4,307,671","4,512,578","4,194,201","3,747,388","3,289,338","3,088,810"
"1997","3,072,426","3,187,863","3,840,610","3,475,932","3,574,861","3,799,737","3,937,079","3,832,627","3,470,691","2,944,938","2,554,757","2,308,339"
"1998","2,317,049","2,535,041","2,734,108","3,390,210","3,567,220","3,552,990","4,061,175","4,453,590","4,482,133","4,147,365","3,705,166","3,441,073"
"1999","3,403,984","3,435,606","3,269,602","3,588,122","3,712,733","3,863,036","4,256,240","4,304,500","4,116,822","3,716,927","3,437,843","3,327,499"
"2000","3,275,136","3,268,397","3,227,485","3,697,073","3,857,423","3,751,868","4,153,279","4,111,519","3,825,179","3,321,200","3,043,522","2,985,131"
"2001","2,941,357","2,885,680","2,910,875","3,035,294","3,495,969","3,955,799","4,020,071","3,782,524","3,283,078","2,716,074","2,389,562","2,199,643"
"2002","2,167,051","2,284,384","2,986,262","3,516,585","3,839,544","4,136,151","4,296,717","4,121,856","3,678,844","3,102,924","2,758,417","2,558,201"
"2003","2,414,071","2,334,938","3,223,197","3,536,772","3,584,283","4,103,708","4,536,624","4,435,987","4,088,097","3,547,162","3,258,552","3,159,376"
"2004","3,090,889","3,090,196","3,345,962","3,606,500","3,868,600","3,905,184","4,059,792","3,863,800","3,360,818","2,802,297","2,410,369","2,182,851"
"2005","2,158,914","2,124,248","2,417,193","2,832,031","3,168,056","3,827,041","4,207,234","4,467,986","4,217,184","3,639,214","3,271,767","3,034,837"
"2006","2,855,374","2,896,041","3,754,767","3,586,074","3,834,224","3,853,900","4,057,305","4,467,101","4,249,102","3,784,113","3,377,701","3,205,145"
"2007","3,119,405","3,127,097","3,334,767","3,374,275","3,772,193","4,010,994","3,901,137","3,601,174","3,140,631","2,559,821","2,133,899","1,879,144"
"2008","1,800,690","1,729,679","1,784,100","2,179,031","2,641,041","2,990,558","2,954,112","2,806,832","2,402,186","1,905,819","1,570,784","1,384,481"
"2009","1,282,770","1,331,169","1,361,975","1,416,145","1,960,458","2,880,614","2,998,247","3,118,941","2,797,114","2,325,795","1,936,123","1,773,947"
"2010","1,707,930","1,673,687","1,777,112","2,596,882","3,380,147","3,868,648","4,390,774","4,464,744","4,279,177","3,841,140","3,491,704","3,318,779"
"2011","3,272,489","3,224,150","3,489,195","3,490,198","3,784,113","4,032,173","4,266,264","4,486,848","4,401,530","4,034,923","3,619,135","3,341,094"
"2012","3,226,770","3,150,229","3,094,584","3,107,334","3,169,235","3,853,414","4,440,094","4,299,311","3,880,716","3,271,045","2,794,523","2,591,560"
"2013","2,466,130","2,564,273","3,318,052","3,473,687","3,610,647","3,771,133","3,788,352","3,362,531","2,938,227","2,433,819","2,101,287","1,905,985"
"2014","1,744,200","1,695,999","1,673,380","1,655,800","1,773,314","2,198,728","2,408,810","2,177,212","1,851,266","1,575,037","1,342,087","1,157,084"
"2015","1,108,846","1,047,922","1,867,305","2,000,830","2,612,715","2,689,083","2,662,479","2,404,134","2,198,180","1,990,340","1,788,558","1,602,500"
"2016","1,416,282","1,328,945","1,427,251","2,346,025","2,766,120","4,026,672","4,233,111","4,167,076","3,920,296","3,544,374","3,132,231","2,811,392"
"2017","2,765,261","2,910,211","3,341,580","3,546,148","3,779,345","4,031,347","4,262,821","4,353,084","4,211,498","3,941,688","3,626,594","3,381,860"
"2018","3,176,781","3,221,291","3,202,775","3,349,127","3,413,598","3,879,642","4,194,766","3,955,254","3,641,799","3,146,945","2,691,395","2,405,109"
"2019","2,191,045","2,177,030","2,267,895","2,911,539","3,947,653","4,027,772","4,223,154","4,476,827","4,355,399","4,024,471","3,658,340","3,425,462"
"2020","3,271,045","3,209,173","3,329,922","3,482,174","3,546,148","3,599,638","3,687,155","3,530,452","3,147,180","2,677,949","2,351,196","2,200,375"
"2021","2,081,845","2,022,600","2,031,649","2,128,716","2,277,443","---","","","","","",""
