"Water Year(WY)","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep"
"1972","791,320","729,140","696,410","644,860","623,360","710,890","781,640","834,280","868,740","842,250","780,940","758,700"
"1973","792,740","733,500","680,020","669,547","679,573","726,393","802,460","919,190","960,531","953,425","915,690","893,327"
"1974","869,900","941,290","968,680","1,039,150","1,013,800","1,089,990","1,073,220","1,128,090","1,132,960","1,084,660","1,010,216","968,420"
"1975","920,690","849,270","804,600","806,000","842,010","901,500","877,560","994,360","1,035,740","1,003,410","936,000","905,970"
"1976","904,980","824,190","739,940","653,190","582,000","546,130","581,660","605,610","604,550","608,800","615,210","578,750"
"1977","575,430","575,430","582,910","599,900","621,000","631,140","643,110","663,340","671,770","656,490","598,200","541,680"
"1978","526,060","519,900","543,100","626,000","675,780","757,770","832,840","935,500","1,004,400","1,029,500","957,000","893,300"
"1979","835,200","807,700","771,500","717,000","670,400","701,600","750,800","818,800","822,800","767,000","713,600","687,000"
"1980","666,200","644,900","627,900","705,200","781,200","837,200","902,500","981,000","1,030,300","1,015,400","984,800","962,300"
"1981","918,900","881,500","873,100","865,300","872,200","871,400","871,200","887,200","839,000","804,800","765,200","708,000"
"1982","692,800","823,000","924,700","925,900","986,370","1,070,300","1,085,700","1,134,900","1,130,000","1,075,900","991,300","923,400"
"1983","907,700","902,700","915,900","900,500","918,400","954,700","900,000","959,000","1,080,700","1,080,100","1,015,600","960,000"
"1984","950,400","937,900","968,400","915,900","917,200","1,004,200","1,075,600","1,105,500","1,081,200","1,028,400","974,600","923,400"
"1985","899,300","906,000","864,100","815,600","764,500","714,700","764,300","770,400","748,500","675,600","649,000","635,700"
"1986","596,900","629,200","661,300","705,900","895,100","1,009,100","1,043,600","1,102,600","1,061,600","999,000","925,400","842,200"
"1987","764,990","710,880","719,530","758,000","803,890","862,880","911,440","962,310","984,300","991,000","1,000,040","957,480"
"1988","890,115","798,191","740,636","712,252","741,097","775,767","813,661","841,772","862,644","841,530","810,084","751,504"
"1989","688,091","677,118","656,934","684,271","686,513","805,795","889,621","942,803","933,230","884,198","821,074","799,140"
"1990","782,124","733,962","686,513","727,080","753,358","795,583","835,490","868,496","883,952","858,253","813,422","764,997"
"1991","702,729","694,378","671,326","692,353","713,389","762,197","795,820","836,695","850,721","812,229","765,930","699,114"
"1992","673,106","688,308","696,406","715,892","756,145","795,109","841,764","866,297","869,230","852,663","801,752","739,484"
"1993","702,720","690,100","687,850","691,000","684,940","774,350","873,140","1,021,870","1,065,260","996,940","911,940","847,080"
"1994","789,430","733,502","693,703","730,747","764,063","808,890","843,698","878,297","882,229","850,236","807,937","756,610"
"1995","707,485","715,664","695,054","791,558","844,665","972,767","998,235","1,097,736","1,130,796","1,104,970","1,019,266","953,932"
"1996","918,438","868,496","874,126","899,764","994,617","1,033,643","1,047,569","1,128,634","1,088,391","1,022,918","952,919","897,534"
"1997","838,866","797,006","873,391","917,938","843,456","879,279","932,224","966,895","953,172","922,440","856,307","813,661"
"1998","751,270","700,469","624,226","707,938","784,708","850,721","916,440","1,060,764","1,115,974","1,098,271","1,021,874","953,172"
"1999","928,206","902,990","839,107","857,523","881,000","952,665","1,014,418","1,078,539","1,103,073","1,056,755","975,549","957,211"
