"Water Year(WY)","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep"
"1972","289,130","289,350","291,600","315,480","350,060","424,330","429,720","411,660","385,140","350,530","319,840","297,930"
"1973","296,120","296,800","289,480","311,350","323,990","336,500","338,830","323,990","302,470","276,810","251,220","238,640"
"1974","235,410","244,690","270,580","307,930","312,040","375,590","400,520","370,970","360,180","337,900","315,710","294,540"
"1975","287,550","286,650","287,550","291,150","302,000","350,100","374,640","390,650","367,280","343,700","322,400","302,700"
"1976","298,840","298,200","299,000","300,700","301,110","314,100","313,420","293,200","273,500","251,000","245,600","227,710"
"1977","224,500","223,030","225,600","223,240","224,100","223,500","210,200","206,000","190,300","167,100","150,400","146,700"
"1978","138,300","138,500","150,400","180,500","189,700","210,800","243,200","236,900","216,900","196,000","176,100","162,500"
"1979","157,800","158,600","158,600","161,700","166,500","190,700","194,400","180,900","164,900","140,000","122,500","109,700"
"1980","108,900","112,700","118,000","163,700","212,700","234,800","239,900","232,800","226,200","198,900","180,500","155,000"
"1981","162,500","108,590","162,700","164,900","173,050","192,700","194,800","183,500","166,900","143,900","122,500","109,400"
"1982","110,430","138,330","188,200","199,300","217,910","301,110","355,000","345,500","341,600","322,800","296,600","278,800"
"1983","280,400","282,000","285,800","319,900","364,200","432,700","447,400","468,900","450,900","424,800","402,000","384,400"
"1984","378,500","379,200","436,800","441,040","453,700","491,800","508,300","498,400","482,700","459,100","412,100","398,600"
"1985","364,000","374,600","375,100","375,100","388,700","408,000","414,600","398,400","374,400","346,100","309,150","314,800"
"1986","314,800","312,500","311,100","317,080","397,100","439,800","432,800","420,900","398,400","373,400","345,600","334,200"
"1987","330,200","327,450","326,990","332,800","335,600","322,860","339,300","319,400","305,200","285,700","265,500","249,910"
"1988","246,430","243,390","247,700","250,350","263,050","278,140","275,000","267,400","245,560","223,700","201,600","184,600"
"1989","184,560","184,600","185,400","185,400","198,390","305,200","326,500","317,080","301,600","273,500","253,000","241,200"
"1990","245,640","236,920","223,900","239,750","264,200","252,960","245,600","231,500","204,290","194,000","172,900","160,100"
"1991","154,300","153,900","139,280","158,200","145,130","160,500","156,620","147,314","119,220","110,800","95,170","82,500"
"1992","65,680","79,430","70,270","84,030","86,830","84,030","83,660","63,900","61,220","52,930","47,136","33,686"
"1993","28,400","42,860","42,430","46,000","30,010","178,070","207,250","187,964","176,006","171,050","156,220","142,510"
"1994","140,000","153,490","140,230","127,540","143,090","130,595","122,792","128,400","98,196","75,908","73,480","55,400"
"1995","51,964","66,870","59,740","123,732","150,636","222,390","266,032","282,216","271,850","249,600","227,996","211,488"
"1996","205,134","206,400","210,000","225,620","331,928","368,344","374,080","374,080","355,958","332,630","315,160","294,480"
"1997","289,476","303,380","340,370","377,680","385,859","393,360","392,022","387,000","364,520","358,328","326,780","308,230"
"1998","303,172","301,800","302,714","334,268","360,236","402,584","400,640","401,126","395,296","373,841","348,854","332,396"
"1999","322,352","332,162","344,600","353,114","360,236","382,240","383,640","378,860","362,854","339,200","320,500","301,570"
"2000","298,360","295,620","295,850","304,780","317,940","343,660","351,930","339,660","318,870","295,850","266,480","239,510"
"2001","236,680","237,770","237,990","237,770","238,860","241,480","239,080","218,110","189,630","164,420","137,919","121,100"
"2002","118,290","123,170","136,570","144,540","152,030","161,800","175,400","168,270","147,880","128,300","105,300","92,130"
"2003","84,400","89,730","97,000","101,900","106,600","113,100","126,400","129,260","108,600","87,240","57,560","61,360"
"2004","56,570","59,300","62,100","66,590","100,140","145,560","131,180","120,910","100,905","80,580","37,915","20,730"
"2005","56,430","56,850","61,060","64,030","64,190","69,040","77,510","103,690","91,780","70,580","32,810","55,310"
"2006","53,820","60,920","112,740","136,760","163,000","206,190","246,740","251,250","234,280","212,130","189,210","171,310"
"2007","166,650","167,250","168,670","169,080","173,350","179,080","177,650","159,400","142,000","120,350","98,380","84,360"
"2008","82,870","82,540","84,360","88,720","95,410","136,950","151,240","150,050","136,760","116,990","93,330","76,870"
"2009","78,960","77,510","78,630","79,760","82,370","89,500","89,500","69,810","35,280","36,380","56,710","40,620"
"2010","56,290","56,570","59,590","60,480","65,230","72,910","78,150","66,740","61,060","52,500","44,930","41,350"
"2011","38,980","39,280","50,450","73,070","79,920","129,070","74,868","187,140","179,500","160,200","139,082","124,690"
"2012","121,290","119,970","119,790","120,350","118,480","124,120","129,260","117,920","102,090","82,870","53,160","59,300"
"2013","56,010","59,590","76,390","82,870","93,160","109,000","100,320","89,390","75,440","59,740","52,630","47,650"
"2014","59,590","60,480","60,620","46,500","48,610","53,960","52,890","46,730","39,790","33,250","28,980","25,390"
"2015","24,470","24,550","28,550","35,920","44,600","45,930","43,180","41,680","36,281","31,228","25,648","22,700"
"2016","20,976","21,000","23,000","46,880","80,905","123,174","124,505","118,450","100,305","83,526","65,984","57,420"
"2017","58,714","58,714","64,934","86,697","188,383","248,891","285,845","283,344","264,754","239,948","219,817","204,483"
"2018","198,605","201,336","---","202,602","202,602","218,961","228,812","218,533","201,758","181,350","161,608","149,450"
"2019","146,497","145,321","149,255","159,794","185,268","234,067","281,533","276,120","256,240","246,000","212,342","212,342"
"2020","196,930","195,890","200,492","211,279","215,965","218,105","209,785","198,400","180,320","157,995","138,882","124,310"
"2021","118,099","116,430","115,320","116,430","118,473","---","","","","","",""
