"Water Year(WY)","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep"
"1972","616,900","569,300","599,800","598,500","613,900","723,400","865,100","983,000","949,700","841,800","750,100","658,700"
"1973","607,100","589,500","631,100","594,600","605,900","642,400","790,600","989,800","926,000","809,900","769,100","742,200"
"1974","668,300","608,200","680,800","611,400","619,300","751,100","775,500","926,300","950,200","934,900","867,800","772,800"
"1975","683,700","642,500","597,800","630,500","612,100","707,800","690,400","869,600","941,800","854,600","791,500","773,000"
"1976","704,200","630,200","572,200","539,200","581,800","633,500","636,000","633,800","582,100","520,300","451,400","416,400"
"1977","417,300","393,700","317,000","292,000","271,500","285,300","297,900","303,900","252,500","200,100","163,600","147,000"
"1978","146,300","147,000","258,800","602,500","646,700","618,200","844,300","886,600","927,400","871,100","810,000","700,100"
"1979","627,600","638,500","641,100","679,700","706,500","832,100","958,700","973,200","908,800","851,800","792,400","710,400"
"1980","661,900","612,700","621,400","622,500","667,300","677,200","723,600","841,200","845,000","723,900","694,100","669,800"
"1981","628,200","635,100","628,600","658,300","709,000","851,400","941,900","881,100","726,100","658,300","617,100","600,000"
"1982","557,400","625,500","683,300","622,900","650,600","815,700","837,100","997,900","955,700","933,200","839,900","756,100"
"1983","731,200","675,000","635,900","636,900","655,000","651,600","765,700","821,500","989,000","944,700","841,300","751,800"
"1984","685,500","625,200","677,200","633,500","682,900","773,400","900,600","986,900","930,700","704,700","685,500","681,000"
"1985","625,600","633,100","599,700","592,200","633,100","738,600","891,700","879,800","776,500","668,700","606,100","587,400"
"1986","524,100","515,800","595,600","723,100","614,300","659,900","708,400","909,600","972,200","779,900","679,500","653,200"
"1987","558,500","507,800","465,600","456,100","545,800","661,500","717,100","736,000","706,200","597,300","517,300","429,700"
"1988","310,400","261,400","300,800","400,500","446,900","478,400","504,300","485,300","434,200","294,700","242,600","218,200"
"1989","175,600","198,600","246,500","309,500","397,500","748,300","947,500","944,200","866,700","682,300","598,000","570,500"
"1990","440,600","341,500","312,300","339,700","378,200","502,700","525,200","566,800","524,700","249,000","191,400","178,200"
"1991","167,965","172,900","157,095","154,955","167,072","421,546","595,910","742,608","727,588","617,375","528,246","506,061"
"1992","418,871","407,383","352,219","349,300","501,556","606,505","696,087","656,636","466,991","299,171","192,782","171,626"
"1993","158,000","157,200","259,900","477,700","504,500","622,800","861,400","953,000","927,400","732,800","614,200","562,900"
"1994","467,526","429,596","393,131","355,148","377,444","409,462","445,594","471,949","414,100","318,576","249,401","216,896"
"1995","204,796","189,523","252,277","559,076","574,195","584,662","756,744","743,895","953,056","604,576","574,454","466,149"
"1996","386,400","307,000","317,700","504,000","361,900","626,900","781,700","936,300","902,900","836,500","762,800","726,300"
"1997","635,400","564,900","496,900","376,200","403,900","469,700","553,000","623,400","614,800","566,100","545,900","556,100"
"1998","490,952","433,278","421,185","542,030","558,821","680,299","760,124","752,089","908,659","926,916","833,931","712,911"
"1999","613,800","555,300","563,000","533,200","495,600","615,400","755,600","910,300","934,800","787,300","752,500","721,600"
"2000","634,800","580,100","530,200","568,000","599,000","674,300","697,300","775,700","772,907","659,600","655,900","660,700"
"2001","579,500","560,900","532,900","491,800","524,600","602,195","667,500","695,800","586,100","488,900","430,500","367,600"
"2002","287,404","261,932","337,281","481,044","602,372","720,553","759,131","822,211","766,500","610,358","546,701","509,754"
"2003","456,772","446,483","537,546","601,048","531,361","619,747","830,606","962,364","923,969","800,125","699,947","658,100"
"2004","561,872","498,994","532,500","554,000","617,300","706,553","630,205","634,746","565,029","430,309","390,008","376,439"
"2005","355,407","326,481","391,157","583,360","609,202","673,908","830,086","959,148","932,812","847,402","743,110","652,327"
"2006","566,821","516,683","648,549","425,054","445,373","710,214","766,500","927,571","919,072","819,628","733,596","638,842"
"2007","537,961","487,700","481,588","468,362","589,367","693,272","739,574","787,214","655,931","489,539","375,647","323,046"
"2008","284,151","237,321","222,474","277,762","371,436","451,461","536,798","617,057","472,791","348,372","300,287","269,825"
"2009","234,433","209,395","217,975","245,599","422,261","745,863","780,450","933,141","855,287","601,048","451,610","411,575"
"2010","347,298","284,372","264,286","321,671","418,632","562,043","823,244","905,419","923,096","753,671","656,485","624,242"
"2011","601,842","550,473","442,338","479,495","613,472","634,655","750,607","880,086","928,445","932,156","839,351","740,360"
"2012","577,381","481,277","415,871","413,115","387,440","664,005","933,361","926,152","815,189","621,809","502,720","451,610"
"2013","396,130","403,768","584,141","566,394","552,065","601,136","681,715","734,377","665,028","524,726","429,368","361,108"
"2014","291,500","235,676","186,829","163,500","304,987","436,041","546,617","547,874","470,728","406,397","381,013","344,984"
"2015","304,814","278,197","429,802","447,742","564,261","571,528","575,746","535,394","438,457","285,860","195,221","173,699"
"2016","148,247","136,980","239,069","528,563","605,555","691,371","826,449","826,034","715,224","484,623","346,733","305,974"
"2017","353,554","446,779","400,101","408,425","404,391","590,592","723,656","936,873","953,387","883,079","777,729","663,819"
"2018","556,962","614,816","545,109","581,972","526,275","816,735","866,376","954,601","840,605","630,928","506,232","466,912"
"2019","397,019","330,420","311,616","522,524","598,048","734,669","886,926","934,568","920,266","838,097","755,451","713,972"
"2020","598,136","493,387","511,115","486,801","447,298","476,336","696,789","790,460","716,868","554,510","476,798","423,478"
"2021","353,173","321,700","289,910","289,631","345,546","---","","","","","",""
